tau,Model,rolling_rmse_median,rolling_rmse_iqr,rolling_pts
1,GBM,0.2767952082125543,0.12359594432036587,97
1,XGBoost,0.29679142870479597,0.1065568501550698,97
1,CatBoost,0.2733965752029919,0.1015220315981784,97
1,Random Forest,0.27906064772778755,0.10170977074743372,97
1,LightGBM,0.2937596103029321,0.13440574893613758,97
1,ARIMA,0.31840637361774377,0.13056137557109043,97
3,GBM,0.27588867117295335,0.06349838204728507,97
3,XGBoost,0.27794909258349754,0.07386697542839052,97
3,CatBoost,0.27061052974958494,0.07260431464616167,97
3,Random Forest,0.2739238194680431,0.08194632087539241,97
3,LightGBM,0.2775219180345903,0.09517091703327325,97
3,ARIMA,0.31054963945639535,0.13483745324362026,97
6,GBM,0.279998869244616,0.08788605860544449,97
6,XGBoost,0.2647295490870457,0.11072830517423983,97
6,CatBoost,0.2751095285196482,0.07097249321587024,97
6,Random Forest,0.26957212510745465,0.09691454776407649,97
6,LightGBM,0.29669611236909077,0.11175643779331323,97
6,ARIMA,0.3053160797915537,0.12195845295517997,97
9,GBM,0.2778971916795513,0.10443194887610478,97
9,XGBoost,0.2810101766807961,0.10660162951456666,97
9,CatBoost,0.3019182854087876,0.08934435477943757,97
9,Random Forest,0.284894748668969,0.07852467901423321,97
9,LightGBM,0.29526648326319643,0.11558797341503763,97
9,ARIMA,0.3058463828565557,0.12271097637311101,97
